time,TP9,AF7,AF8,TP10
1691552237177.625,-41.015625,-20.5078125,-37.59765625,-34.1796875
1691552237224.5,-34.66796875,-25.87890625,-36.1328125,-27.83203125
1691552237271.375,-42.48046875,-24.4140625,-31.25,-27.83203125
1691552237318.25,-44.43359375,-41.50390625,-35.15625,-39.0625
1691552237365.125,-51.26953125,-35.15625,-37.109375,-54.6875
1691552237412,-41.9921875,-34.1796875,-34.66796875,-40.0390625
1691552237458.875,-46.38671875,-30.2734375,-30.2734375,-28.80859375
1691552237505.75,-58.10546875,-40.0390625,-49.8046875,-48.828125
1691552237552.625,-51.7578125,-36.1328125,-40.52734375,-53.22265625
1691552237599.5,-43.45703125,-36.1328125,-32.71484375,-33.203125
1691552237646.375,-50.29296875,-42.48046875,-35.15625,-38.0859375
1691552237693.25,-45.8984375,-41.50390625,-38.57421875,-32.71484375
1691552237740.125,-32.71484375,-30.76171875,-34.1796875,-32.71484375
1691552237787,-42.96875,-37.59765625,-35.64453125,-38.0859375
1691552237833.875,-44.921875,-32.2265625,-29.296875,-31.73828125
1691552237880.75,-48.33984375,-46.38671875,-24.90234375,-27.34375
1691552237927.625,-47.8515625,-39.55078125,-38.57421875,-47.8515625
1691552237974.5,-34.1796875,-33.203125,-33.69140625,-29.296875
1691552238021.375,-29.78515625,-46.38671875,-39.55078125,-37.59765625
1691552238068.25,-24.4140625,-17.578125,-22.94921875,-28.80859375
1691552238115.125,-16.11328125,-36.62109375,-30.76171875,-18.5546875
1691552238162,-26.85546875,-34.1796875,-50.78125,-43.9453125
1691552238208.875,-29.296875,-46.38671875,-30.2734375,-22.94921875
1691552238255.75,-28.3203125,-42.48046875,-27.34375,-12.6953125
1691552238302.625,-31.25,-37.59765625,-26.85546875,-25.87890625
1691552238349.5,-51.26953125,-38.0859375,-34.66796875,-47.36328125
1691552238396.375,-21.484375,-14.6484375,-31.25,-20.99609375
1691552238443.25,-20.99609375,-34.1796875,-35.64453125,-19.04296875
1691552238490.125,-32.2265625,-37.109375,-16.6015625,-23.4375
1691552238537,-31.73828125,-31.25,-29.78515625,-33.69140625
1691552238583.875,-22.4609375,-37.109375,-21.97265625,-17.578125
1691552238630.75,-12.6953125,-25.87890625,-21.484375,-9.27734375
1691552238677.625,-33.203125,-49.8046875,-26.3671875,-27.83203125
1691552238724.5,-14.16015625,-8.7890625,-16.11328125,-17.578125
1691552238771.375,-35.15625,-38.0859375,-24.4140625,-22.4609375
1691552238818.25,-26.3671875,-33.203125,-24.4140625,-29.78515625
1691552238865.125,-36.62109375,-20.5078125,-23.92578125,-42.96875
1691552238912,-32.71484375,-31.25,-20.5078125,-17.578125
1691552238958.875,-28.80859375,-28.80859375,-20.01953125,-36.1328125
1691552239005.75,-110.3515625,2.44140625,-10.25390625,-139.16015625
1691552239052.625,-80.56640625,-37.109375,-39.55078125,-90.8203125
1691552239099.5,-16.11328125,-61.03515625,-34.66796875,-12.20703125
1691552239146.375,-20.5078125,-52.24609375,-43.9453125,-8.7890625
1691552239193.25,-31.25,-28.80859375,-35.15625,-17.08984375
1691552239240.125,-24.90234375,-42.96875,-35.15625,-17.08984375
1691552239287,-25.87890625,-33.203125,-18.06640625,-26.85546875
1691552239333.875,-38.0859375,-34.1796875,-27.83203125,-20.01953125
1691552239380.75,-38.0859375,-41.9921875,-33.69140625,-36.62109375
1691552239427.625,-35.15625,-39.55078125,-27.83203125,-43.45703125
1691552239474.5,-33.203125,-21.97265625,-29.296875,-42.96875
1691552239521.375,-40.52734375,-40.52734375,-23.92578125,-29.296875
1691552239568.25,-27.83203125,-29.296875,-33.203125,-41.9921875
1691552239615.125,-35.64453125,-32.71484375,-32.71484375,-38.57421875
1691552239662,-26.3671875,-28.80859375,-21.97265625,-24.90234375
1691552239708.875,-39.55078125,-41.50390625,-30.76171875,-36.1328125
1691552239755.75,-10.25390625,-19.53125,-11.23046875,-16.11328125
1691552239802.625,-36.62109375,-24.4140625,-20.99609375,-22.94921875
1691552239849.5,-26.3671875,-26.3671875,-17.08984375,-20.99609375
1691552239896.375,-33.69140625,-25.390625,-27.83203125,-39.55078125
1691552239943.25,-28.3203125,-33.69140625,-37.109375,-30.2734375
1691552239990.125,-53.22265625,-41.50390625,-31.73828125,-34.1796875
1691552240037,-35.15625,-41.015625,-25.87890625,-26.3671875
1691552240083.875,-36.1328125,-35.64453125,-24.4140625,-20.01953125
1691552240130.75,-37.109375,-35.15625,-39.0625,-42.96875
1691552240177.625,-25.87890625,-21.484375,-29.296875,-41.9921875
